img_name;folder;image;pw_1;pw_2;pw_3;pw_4;pw_5;pw_6;pw_7;pw_8;pw_9;pw_10;pw_11;pw_12;pw_13;pw_14;pw_15;pw_16;pw_17;pw_18;pw_19;pw_20;pw_21;pw_22;pw_23;pw_24;pw_25;pw_26;pw_27;pw_28;pw_29;pw_30;pw_31;pw_32;pw_33;pw_34;pw_35;pw_36;pw_37;pw_38;pw_39;pw_40
Pieza_06_foto194;6;194;92.1875;92.1875;92.1875;92.1875;94.140625;100.0;100.0;100.0;100.0;100.0;100.0;93.0078125;51.328125;24.296875;12.1875;0.0;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;16.640625;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Pieza_06_foto196;6;196;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.6328125;9.21875;9.21875;9.21875;13.3984375;14.0625;14.0625;14.0625;6.9921875;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;48.359375;100.0;100.0;100.0;100.0;100.0;100.0;100.0;31.875;0.0;0.0;0.0
Pieza_06_foto197;6;197;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;23.75;23.75;23.75;23.75;19.53125;18.125;18.125;36.875;36.875;36.875;36.875;36.875;36.875;36.796875;42.8125;42.8125;42.8125;42.8125;17.34375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Pieza_06_foto198;6;198;100.0;100.0;100.0;100.0;34.826388888888886;0.0;0.0;8.524305555555555;100.0;97.60416666666667;89.21875;89.21875;89.21875;85.05208333333333;82.96875;85.0;86.71875;75.69444444444444;63.90625;63.90625;100.0;100.0;100.0;100.0;70.53819444444444;0.0;0.0;5.798611111111111;72.37847222222223;77.34375;75.46875;64.58333333333333;29.6875;28.993055555555557;28.4375;28.4375;27.32638888888889;17.395833333333332;8.75;8.75
Pieza_06_foto20;6;20;0.0;0.0;0.0;49.0234375;100.0;100.0;100.0;73.06640625;2.7734375;0.0;0.0;0.0;0.0;60.78125;99.90234375;91.015625;64.0625;38.65234375;8.125;0.0;0.0;0.0;0.0;10.09765625;100.0;100.0;100.0;100.0;20.64453125;0.0;0.0;0.0;0.0;1.42578125;39.98046875;48.5546875;46.5625;40.3125;2.91015625;0.0
Pieza_06_foto203;6;203;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.78125;18.28125;20.416666666666668;22.395833333333332;23.125;24.375;24.375;24.375;24.375;24.375;24.375;24.375;46.71875;57.291666666666664;65.26041666666667;55.15625;55.15625;54.166666666666664;37.708333333333336;30.052083333333332;15.885416666666666;0.0;0.0;0.0;0.0
Pieza_06_foto207;6;207;0.0;0.0;0.0;0.0;0.0;0.0;6.5234375;51.4453125;93.0078125;100.0;100.0;93.671875;91.5625;91.5625;91.5625;69.7265625;32.8125;32.8125;32.8125;32.8125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.9296875;92.1875;100.0;100.0;100.0;94.609375;78.4375;78.4375;78.4375;78.4375;78.4375;78.4375
Pieza_06_foto208;6;208;0.0;0.0;0.0;0.0;0.0;0.0;26.9140625;93.3203125;100.0;100.0;92.65625;62.4609375;31.25;31.25;31.25;19.765625;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;71.71875;100.0;100.0;100.0;100.0;91.875;91.875;91.875;36.484375;0.0;0.0;0.0;0.0
Pieza_06_foto209;6;209;0.0;0.0;0.0;26.008522727272727;44.26136363636363;12.826704545454545;0.0;0.0;0.0;36.37784090909091;93.26704545454545;89.0625;85.04261363636364;100.0;85.05681818181819;65.625;63.89204545454545;5.014204545454546;0.0;0.0;0.0;0.0;17.457386363636363;23.963068181818183;46.90340909090909;63.46590909090909;20.625;4.7585227272727275;0.0;2.65625;86.2784090909091;100.0;100.0;100.0;85.36931818181819;60.9375;60.9375;58.84943181818182;0.0;0.0
Pieza_06_foto210;6;210;0.0;0.0;17.578125;23.4375;23.4375;23.4375;16.7578125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.140625;47.03125;47.03125;47.03125;47.9296875;48.125;48.125;48.125;38.4765625;26.875;19.2578125;10.46875;0.0;0.0;0.0;0.0;0.0;0.0
Pieza_06_foto213;6;213;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;87.2265625;63.8671875;18.046875;2.8515625;0.0;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;45.78125;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Pieza_06_foto214;6;214;0.0;0.0;0.0;0.0;0.0;2.5;10.546875;15.7421875;29.6875;29.6875;29.6875;33.59375;32.65625;32.34375;32.34375;15.4296875;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.03125;19.6875;19.6875;19.6875;19.6875;19.8046875;19.84375;19.84375;19.84375;17.421875;4.6875;19.84375;20.0;20.0;25.2734375
Pieza_06_foto221;6;221;0.0;0.0;21.519886363636363;98.7784090909091;100.0;100.0;100.0;86.03693181818181;57.5;57.5;70.39772727272727;100.0;91.97443181818181;88.4375;85.56818181818181;53.28125;50.3125;42.79829545454545;23.28125;23.28125;0.0;0.0;29.602272727272727;71.25;82.07386363636364;100.0;94.74431818181819;50.95170454545455;44.73011363636363;75.39772727272727;99.67329545454545;100.0;91.36363636363636;88.125;36.05113636363637;27.65625;0.0;0.0;0.0;0.0
Pieza_06_foto222;6;222;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;75.55803571428571;68.4375;68.4375;68.4375;68.4375;68.4375;95.37946428571429;99.84375;91.76339285714286;65.17857142857143;64.375;64.375;100.0;100.0;100.0;100.0;100.0;100.0;100.0;58.236607142857146;35.3125;35.3125;35.3125;35.3125;35.580357142857146;40.46875;40.46875;32.79017857142857;27.03125;27.03125;27.03125;27.03125
Pieza_06_foto23;6;23;0.0;0.0;3.7109375;12.12890625;13.125;9.62890625;0.0;6.15234375;15.8203125;19.53125;37.578125;85.703125;100.0;100.0;88.92578125;66.46484375;51.97265625;53.41796875;72.03125;79.84375;0.0;0.0;0.95703125;20.078125;63.4375;64.55078125;64.375;41.89453125;15.3125;17.1875;19.0625;35.546875;63.28125;64.1015625;83.06640625;91.19140625;59.0234375;27.65625;34.296875;60.0
Pieza_06_foto238;6;238;0.0;0.0;0.0;8.46875;24.21875;19.765625;22.859375;83.96875;84.34375;84.0625;84.0625;82.5;82.5;70.546875;65.3125;65.3125;48.078125;40.9375;40.34375;17.671875;0.0;0.0;7.8125;38.828125;42.71875;54.65625;88.890625;85.78125;49.6875;39.21875;48.546875;78.28125;65.203125;38.75;38.59375;37.1875;37.1875;32.4375;25.3125;25.3125
Pieza_06_foto24;6;24;7.96875;7.96875;7.96875;0.0;0.0;0.0;0.0;0.0;9.583333333333334;14.375;14.375;14.375;14.375;14.375;0.0;0.0;0.0;0.0;0.0;0.0;73.4375;73.4375;73.4375;66.5625;64.0625;64.0625;61.197916666666664;55.46875;55.46875;55.46875;55.46875;55.46875;55.46875;55.46875;9.84375;0.0;0.0;0.0;0.0;0.0
Pieza_06_foto247;6;247;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.416666666666667;26.875;26.875;26.875;26.875;27.291666666666668;25.78125;22.34375;22.34375;22.34375;22.34375
Pieza_06_foto260;6;260;0.0;0.0;0.0;0.8928571428571429;27.522321428571427;50.066964285714285;80.15625;80.15625;80.15625;84.59821428571429;71.40625;63.92857142857143;60.78125;60.78125;39.84375;39.84375;39.84375;39.84375;23.861607142857142;17.1875;0.0;0.0;0.0;1.2276785714285714;10.0;44.21875;100.0;100.0;100.0;100.0;79.08482142857143;68.30357142857143;67.5;67.5;67.5;63.25892857142857;61.5625;61.5625;55.95982142857143;35.46875
Pieza_06_foto27;6;27;0.0;0.0;0.0;0.0;0.0;0.0;16.1328125;90.2734375;100.0;100.0;100.0;100.0;100.0;100.0;100.0;68.5546875;18.28125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;26.3671875;95.4296875;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;27.421875;0.0;0.0
Pieza_06_foto275;6;275;0.0;0.0;0.0;0.0;21.160714285714285;49.308035714285715;68.75;73.4375;74.21875;74.84375;81.5625;85.91517857142857;82.56696428571429;80.82589285714286;77.38839285714286;75.78125;73.14732142857143;52.745535714285715;46.40625;46.40625;0.0;0.0;0.0;0.0;0.0;21.517857142857142;57.120535714285715;93.75;95.625;70.84821428571429;48.90625;49.35267857142857;49.6875;49.24107142857143;46.5625;46.5625;46.5625;43.214285714285715;42.65625;42.65625
