img_name;folder;image;pw_1;pw_2;pw_3;pw_4;pw_5;pw_6;pw_7;pw_8;pw_9;pw_10
Pieza_02_foto121;2;121;74.53125;65.41666666666667;53.370535714285715;30.751488095238095;0.0;20.68452380952381;35.13392857142857;18.601190476190474;14.211309523809524;0.0
Pieza_02_foto122;2;122;9.807412790697674;73.8626453488372;79.81104651162791;61.43895348837209;60.98110465116279;3.0486918604651163;58.19404069767442;81.12645348837209;40.57776162790697;36.784156976744185
Pieza_02_foto134;2;134;100.0;100.0;97.17105263157895;32.17927631578947;0.0;50.7483552631579;98.00164473684211;100.0;44.13651315789474;0.0
Pieza_02_foto135;2;135;30.556640625;38.78662109375;47.47314453125;58.71826171875;58.48388671875;58.9599609375;54.27734375;56.123046875;83.8427734375;61.3671875
Pieza_02_foto164;2;164;100.0;66.51620370370371;58.026620370370374;36.28472222222222;0.0;87.41319444444444;100.0;64.27083333333333;0.0;0.0
Pieza_02_foto165;2;165;0.0;0.0;0.0;60.96875;7.6625;0.0;63.61875;18.8125;70.28125;10.6375
Pieza_02_foto183;2;183;24.90266393442623;20.545594262295083;24.610655737704917;29.96926229508197;48.82684426229508;14.777151639344263;47.041495901639344;26.741803278688526;20.322745901639344;35.21516393442623
Pieza_02_foto184;2;184;0.0;34.734375;24.364583333333332;91.38541666666667;41.677083333333336;10.208333333333334;74.72395833333333;14.453125;49.447916666666664;3.453125
Pieza_02_foto199;2;199;44.27978515625;57.52685546875;23.88427734375;53.88916015625;82.890625;21.00341796875;75.9228515625;56.96044921875;38.26416015625;47.3388671875
Pieza_02_foto200;2;200;61.569940476190474;41.436011904761905;0.0;65.89037698412699;35.617559523809526;10.87797619047619;5.868055555555555;19.699900793650794;59.44940476190476;45.43154761904762
Pieza_02_foto217;2;217;5.206925675675675;62.804054054054056;83.29814189189189;87.22972972972973;70.57854729729729;0.36317567567567566;43.82179054054054;48.72466216216216;86.08530405405405;39.6241554054054
Pieza_02_foto218;2;218;0.0;16.29340277777778;68.47222222222223;37.49131944444444;20.477430555555557;51.71006944444444;33.00347222222222;75.60763888888889;100.0;100.0
Pieza_02_foto234;2;234;0.0;34.15736607142857;91.59040178571429;80.8203125;0.0;5.290178571428571;55.340401785714285;38.41517857142857;21.824776785714285;0.0
Pieza_02_foto235;2;235;4.105902777777778;89.50086805555556;41.731770833333336;46.471354166666664;43.498263888888886;21.23263888888889;52.482638888888886;23.25954861111111;13.971354166666666;6.662326388888889
Pieza_02_foto250;2;250;0.0;0.0;62.890625;39.111328125;0.0;0.0;0.0;21.71875;37.98828125;10.869140625
Pieza_02_foto251;2;251;0.0;46.34375;84.41145833333333;25.260416666666668;0.0;20.5;36.973958333333336;56.880208333333336;27.182291666666668;12.328125
Pieza_02_foto269;2;269;7.534722222222222;46.349826388888886;97.56944444444444;100.0;41.98784722222222;0.0;0.0;49.17534722222222;32.673611111111114;17.30902777777778
Pieza_02_foto27;2;27;93.79076086956522;100.0;100.0;77.06521739130434;27.744565217391305;85.46875;97.47282608695652;86.08695652173913;24.95923913043478;1.080163043478261
Pieza_02_foto270;2;270;28.59375;69.462890625;75.322265625;19.453125;0.0;0.0;0.0;0.0;0.0;0.0
