img_name;folder;image;h_1;h_2;h_3;h_4;h_5;h_6;h_7;h_8;h_9;h_10;pw_1;pw_2;pw_3;pw_4;pw_5;pw_6;pw_7;pw_8;pw_9;pw_10
Pieza_03_foto0445;3;445;48;78;79;80;79;74;79;78;75;74;35.9375;42.93870192307692;61.14517405063291;62.20703125;61.70886075949367;55.46875;61.30340189873418;60.47676282051282;58.0625;57.8125
Pieza_03_foto061;3;61;98;95;95;94;84;84;77;77;68;59;76.42697704081633;73.2154605263158;73.65131578947368;70.87765957446808;65.02046130952381;60.03534226190476;47.3823051948052;57.700892857142854;50.21829044117647;43.644067796610166
Pieza_03_foto113;3;113;66;75;75;76;78;78;74;75;75;79;51.5625;53.947916666666664;58.510416666666664;57.8125;60.09615384615385;60.15625;56.788429054054056;58.333333333333336;50.208333333333336;56.546677215189874
Pieza_03_foto138;3;138;252;252;252;226;226;229;141;135;252;252;50.79365079365079;50.79365079365079;50.79365079365079;56.63716814159292;56.63716814159292;55.89519650655022;90.78014184397163;94.81481481481481;50.79365079365079;50.79365079365079
Pieza_03_foto139;3;139;56;61;61;64;64;56;76;76;78;78;43.75;46.09375;46.875;49.57275390625;45.71533203125;43.75;53.3203125;59.375;60.436698717948715;59.10456730769231
Pieza_03_foto216;3;216;46;52;56;60;64;64;69;64;67;67;35.9375;40.625;43.21986607142857;45.169270833333336;48.76708984375;50.0;53.86096014492754;50.0;50.51305970149254;52.34375
Pieza_03_foto294;3;294;73;75;77;78;76;77;74;72;65;55;56.37842465753425;57.041666666666664;59.679383116883116;60.84735576923077;58.0078125;60.08522727272727;57.8125;54.318576388888886;47.71634615384615;42.96875
Pieza_03_foto311;3;311;62;62;66;69;69;69;67;66;64;62;48.4375;45.75352822580645;44.04592803030303;52.98913043478261;53.90625;53.125;52.017257462686565;51.20738636363637;49.90234375;48.4375
Pieza_03_foto312;3;312;58;61;65;65;65;64;62;60;59;59;43.844288793103445;45.3125;48.79807692307692;50.78125;50.28846153846154;50.0;47.983870967741936;46.875;46.09375;45.52436440677966
Pieza_03_foto328;3;328;63;66;68;68;64;65;65;64;64;64;49.21875;50.24857954545455;52.8952205882353;51.21783088235294;49.21875;48.4375;50.72115384615385;49.51171875;50.0;48.9501953125
Pieza_03_foto345;3;345;61;61;62;62;62;61;60;58;57;57;47.65625;47.65625;47.65625;48.4375;47.681451612903224;47.65625;46.71875;44.436961206896555;43.99671052631579;44.53125
