img_name;folder;image;pw_1;pw_2;pw_3;pw_4;pw_5;pw_6;pw_7;pw_8;pw_9;pw_10;pw_11;pw_12;pw_13;pw_14;pw_15;pw_16;pw_17;pw_18;pw_19;pw_20;pw_21;pw_22;pw_23;pw_24;pw_25;pw_26;pw_27;pw_28;pw_29;pw_30;pw_31;pw_32;pw_33;pw_34;pw_35;pw_36;pw_37;pw_38;pw_39;pw_40;pw_41;pw_42;pw_43;pw_44;pw_45;pw_46;pw_47;pw_48;pw_49;pw_50;pw_51;pw_52;pw_53;pw_54;pw_55;pw_56;pw_57;pw_58;pw_59;pw_60
Pieza_05_foto68;5;68;0.0;0.0;0.0;0.0;0.0;31.96875;61.40625;61.53125;61.71875;61.71875;63.5625;82.5625;100.0;100.0;100.0;100.0;100.0;92.25;17.375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;48.71875;100.0;100.0;100.0;0.0;0.0;0.0;1.28125;10.34375;10.625;10.625;6.375;0.0;0.0;0.5;15.9375;38.125;38.125;38.125;38.125;38.125;33.34375;58.59375;58.59375;58.59375;57.125;56.5625;56.5625;56.5625;59.65625;100.0;100.0;100.0;100.0
Pieza_05_foto7;5;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.5;31.171875;48.59375;48.59375;48.59375;48.59375;48.59375;48.59375;48.59375;42.578125;37.5;17.734375;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Pieza_05_foto71;5;71;0.0;0.0;0.0;0.0;0.0;9.166666666666666;28.072916666666668;28.125;28.125;28.125;28.125;28.125;28.125;28.75;35.052083333333336;35.3125;35.3125;35.3125;35.3125;36.40625;61.510416666666664;83.75;83.75;70.46875;57.1875;56.25;39.270833333333336;3.75;0.0;0.0;13.75;13.75;13.75;0.0;0.0;0.0;0.0;4.479166666666667;31.40625;70.88541666666667;72.96875;72.96875;72.96875;70.9375;62.552083333333336;13.854166666666666;0.0;0.0;0.0;0.0;0.0;4.21875;31.875;85.20833333333333;100.0;100.0;100.0;100.0;73.02083333333333;31.510416666666668
Pieza_05_foto72;5;72;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20.859375;63.125;84.0625;84.0625;84.0625;84.0625;84.0625;84.0625;86.09375;86.09375;85.625;85.15625;85.15625;85.15625;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.203125;24.375;45.234375;58.671875;72.03125;89.140625;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;96.484375;80.3125;61.5625;45.546875
Pieza_05_foto73;5;73;0.0;0.0;0.0;0.0;0.0;0.0;13.984375;22.34375;24.84375;38.7109375;52.8125;55.7421875;74.0625;79.84375;52.8515625;34.6875;21.09375;21.09375;21.09375;21.09375;21.09375;21.09375;2.9296875;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.25;32.5;32.5;32.5;32.1875;4.4140625;0.0;0.0;0.0;0.0;5.78125;44.609375;49.21875;49.21875;49.21875;26.953125;0.0
Pieza_05_foto74;5;74;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;27.552083333333332;63.90625;78.69791666666667;89.53125;89.53125;89.53125;81.92708333333333;34.0625;19.53125;8.28125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.177083333333332;20.15625;20.15625;20.15625;0.0;0.0;0.0;5.364583333333333;22.5;22.5;22.5;22.5;22.5;22.5;22.5;22.5;38.958333333333336;85.83333333333333;100.0;100.0;100.0;100.0;92.08333333333333;70.3125;52.5;52.5;52.5;52.5;52.5;21.614583333333332;0.0;0.0;0.0;0.0
Pieza_05_foto75;5;75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;39.479166666666664;78.59375;100.0;100.0;100.0;100.0;77.03125;31.354166666666668;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20.3125;20.3125;20.3125;20.3125;20.3125;20.3125;20.3125;20.3125;20.3125;24.583333333333332;86.97916666666667;100.0;100.0;100.0;100.0;100.0;72.96875;66.25;47.65625;47.65625;43.385416666666664;37.864583333333336;33.020833333333336;25.572916666666668;14.739583333333334;0.0;0.0;0.0;0.0;0.0
Pieza_05_foto76;5;76;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.359375;43.90625;49.375;55.46875;55.46875;55.46875;55.46875;55.46875;55.46875;50.15625;40.625;18.671875;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.203125;25.0;37.96875;52.03125;55.78125;57.96875;57.96875;57.96875;57.96875;57.96875;57.96875;47.734375;14.375;12.96875;12.96875;12.96875
Pieza_05_foto8;5;8;57.65625;57.65625;57.65625;40.15625;17.5625;8.9375;0.0;0.0;8.40625;50.5;82.8125;100.0;86.78125;72.09375;47.4375;39.5625;14.53125;14.53125;14.53125;14.53125;10.96875;5.625;23.4375;31.09375;37.0625;54.03125;52.5;52.5;32.78125;0.0;10.46875;10.46875;10.46875;10.46875;10.46875;23.8125;35.3125;35.3125;35.3125;38.03125;61.3125;90.15625;92.03125;92.65625;84.78125;78.4375;78.4375;73.9375;44.125;16.3125;14.53125;14.53125;14.53125;5.6875;0.0;0.0;0.0;0.0;0.0;0.0
Pieza_05_foto80;5;80;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.1015625;93.4375;100.0;100.0;100.0;100.0;100.0;96.1328125;79.9609375;11.9921875;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.3359375;32.6953125;70.8984375;72.03125;72.03125;72.03125;73.75;78.90625;84.8828125;86.875;88.7890625;100.0;100.0;100.0;96.171875;81.09375;55.234375;35.9375;9.609375;0.0;0.0;0.0;0.0;0.0
Pieza_05_foto81;5;81;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;85.90625;14.53125;14.21875;14.21875;18.28125;44.6875;44.6875;44.6875;33.96875;16.5625;16.5625;16.5625;19.4375;20.15625;20.15625;19.46875;1.21875;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;98.84375;64.125;61.40625;61.40625;61.59375;62.84375;62.96875;62.96875;62.21875;28.78125;8.53125;8.125;8.125;18.375;33.75;33.75;33.75;10.625;0.0;0.0;0.0
