img_name;folder;image;h_1;h_2;h_3;h_4;h_5;h_6;h_7;h_8;h_9;h_10;h_11;h_12;h_13;h_14;h_15;h_16;h_17;h_18;h_19;h_20;pw_1;pw_2;pw_3;pw_4;pw_5;pw_6;pw_7;pw_8;pw_9;pw_10;pw_11;pw_12;pw_13;pw_14;pw_15;pw_16;pw_17;pw_18;pw_19;pw_20
Pieza_05_foto143;5;143;81;81;81;81;62;31;23;39;48;41;38;81;81;81;81;81;81;81;81;81;79.01234567901234;79.01234567901234;79.01234567901234;77.43055555555556;96.09375;0.0;4.968944099378882;18.189102564102566;31.15234375;36.6234756097561;39.514802631578945;70.25462962962963;79.01234567901234;79.01234567901234;79.01234567901234;79.01234567901234;79.01234567901234;79.01234567901234;79.01234567901234;79.01234567901234
Pieza_05_foto162;5;162;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;183;171;171;170;31.5;31.5;31.5;31.5;31.5;31.5;31.5;31.5;31.5;31.5;31.5;31.5;31.5;31.5;31.5;31.5;34.42622950819672;36.8421052631579;36.8421052631579;37.05882352941177
Pieza_05_foto178;5;178;133;133;133;133;133;133;133;133;133;117;117;118;125;125;133;133;133;133;133;133;47.36842105263158;47.36842105263158;47.36842105263158;47.36842105263158;47.36842105263158;47.36842105263158;47.36842105263158;47.36842105263158;47.36842105263158;53.84615384615385;53.84615384615385;53.389830508474574;50.4;50.4;47.36842105263158;47.36842105263158;47.36842105263158;47.36842105263158;47.36842105263158;47.36842105263158
Pieza_05_foto197;5;197;160;160;132;130;129;90;90;62;66;101;136;139;139;140;140;160;160;160;160;160;40.0;40.0;48.484848484848484;49.23076923076923;49.6124031007752;71.11111111111111;68.55902777777777;95.84173387096774;96.2594696969697;63.366336633663366;47.05882352941177;46.0431654676259;46.0431654676259;45.714285714285715;45.714285714285715;40.0;40.0;40.0;40.0;40.0
Pieza_05_foto207;5;207;139;139;127;115;114;112;104;101;101;101;97;96;89;88;77;73;72;64;58;52;45.32374100719424;45.32374100719424;49.60629921259842;54.78260869565217;55.26315789473684;56.25;60.57692307692308;62.37623762376238;62.37623762376238;62.37623762376238;64.94845360824742;65.625;70.78651685393258;71.5909090909091;81.81818181818181;86.3013698630137;87.5;95.53571428571429;87.24685276409414;82.53968253968254
Pieza_05_foto208;5;208;278;279;281;281;281;258;258;224;225;226;226;229;229;306;306;306;306;306;306;306;23.02158273381295;22.939068100358423;22.775800711743774;22.775800711743774;22.775800711743774;24.8062015503876;24.8062015503876;28.571428571428573;28.444444444444443;28.31858407079646;28.31858407079646;27.94759825327511;27.94759825327511;20.915032679738562;20.915032679738562;20.915032679738562;20.915032679738562;20.915032679738562;20.915032679738562;20.915032679738562
Pieza_05_foto221;5;221;114;113;112;87;87;87;86;86;54;54;55;55;59;59;60;60;60;135;135;135;56.14035087719298;56.63716814159292;57.142857142857146;73.5632183908046;73.5632183908046;73.5632183908046;74.4186046511628;63.88081395348837;84.375;84.375;85.85227272727273;85.9375;91.76377118644068;92.1875;92.421875;93.75;93.75;45.0;47.407407407407405;47.407407407407405
Pieza_05_foto223;5;223;126;126;116;116;102;100;85;126;126;126;126;126;126;126;126;126;126;126;126;126;50.79365079365079;50.79365079365079;55.172413793103445;55.172413793103445;62.745098039215684;64.0;75.29411764705883;50.79365079365079;50.79365079365079;50.79365079365079;50.79365079365079;50.79365079365079;50.79365079365079;50.79365079365079;50.79365079365079;50.79365079365079;50.79365079365079;50.79365079365079;50.79365079365079;50.79365079365079
Pieza_05_foto229;5;229;74;74;89;80;99;112;112;122;135;136;144;151;165;200;200;200;200;200;200;200;0.0;0.0;0.0;80.0;64.64646464646465;57.142857142857146;57.142857142857146;52.459016393442624;47.407407407407405;47.05882352941177;44.44444444444444;42.384105960264904;38.78787878787879;32.0;32.0;32.0;32.0;32.0;32.0;32.0
Pieza_05_foto232;5;232;83;83;108;108;108;108;91;108;108;102;102;99;99;98;98;98;98;96;96;91;77.10843373493977;77.10843373493977;59.25925925925926;59.25925925925926;59.25925925925926;59.25925925925926;70.32967032967034;59.25925925925926;59.25925925925926;62.745098039215684;62.745098039215684;64.64646464646465;64.64646464646465;65.3061224489796;65.3061224489796;65.3061224489796;65.3061224489796;66.66666666666667;66.66666666666667;70.32967032967034
Pieza_05_foto234;5;234;95;95;66;65;65;65;65;65;65;66;66;66;66;67;94;97;98;98;93;93;67.36842105263158;67.36842105263158;96.96969696969697;98.46153846153847;98.46153846153847;98.46153846153847;98.46153846153847;98.46153846153847;98.46153846153847;96.96969696969697;96.96969696969697;96.96969696969697;96.96969696969697;95.5223880597015;68.08510638297872;65.97938144329896;65.3061224489796;65.3061224489796;68.81720430107526;68.81720430107526
